method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.710346,0.002486,0.699083,0.008540,0.701382,0.003591,0.758621,0.004147,0.755486,0.700165,0.000000,0.000000,0.759187,0.718641,0.750784,0.695959
term,0.492954,0.000993,0.453262,0.017019,0.455819,0.005194,0.530825,0.003945,0.532915,0.458942,-0.245563,-0.241223,0.554259,0.494391,0.551724,0.478427
concat,0.710335,0.005323,0.692916,0.003761,0.675280,0.007131,0.737722,0.007732,0.749216,0.692470,-0.026102,-0.007695,0.757026,0.718514,0.757053,0.705327
add,0.710940,0.003467,0.697798,0.007568,0.675972,0.011546,0.738245,0.010972,0.741379,0.681817,-0.025410,-0.018348,0.752270,0.711200,0.763323,0.711504
mul,0.711678,0.004604,0.690759,0.005155,0.688071,0.021569,0.744514,0.016588,0.749216,0.696764,-0.013311,-0.003401,0.756161,0.716535,0.755486,0.700442
cross,0.717394,0.008483,0.705860,0.013706,0.682403,0.016077,0.739289,0.013331,0.741379,0.684505,-0.018979,-0.015660,0.763511,0.728819,0.763323,0.717041
gated_concat,0.713094,0.005988,0.700140,0.002946,0.674740,0.008056,0.737722,0.005934,0.741379,0.679389,-0.026642,-0.020776,0.759620,0.724124,0.755486,0.704575
bilinear,0.703142,0.004644,0.696404,0.007568,0.701835,0.002338,0.754441,0.003263,0.768025,0.719351,0.000453,0.019186,0.749676,0.709209,0.755486,0.701108
coattn,0.705569,0.007035,0.700498,0.022062,0.693652,0.009204,0.748171,0.007240,0.749216,0.696394,-0.007730,-0.003771,0.746217,0.714311,0.768025,0.726589
late_interaction,0.706933,0.005474,0.699001,0.003263,0.673513,0.007858,0.733542,0.002715,0.736677,0.679034,-0.027869,-0.021132,0.750973,0.716919,0.766458,0.718079
