method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.707638,0.008011,0.709105,0.009732,0.691799,0.018845,0.749216,0.014952,0.760188,0.704031,0.000000,0.000000,0.747082,0.707715,0.763323,0.711650
term,0.470527,0.027529,0.462535,0.016646,0.479150,0.011009,0.548067,0.008043,0.553292,0.479608,-0.212649,-0.224424,0.511457,0.491869,0.557994,0.491296
concat,0.703005,0.002916,0.708476,0.007855,0.692602,0.010295,0.747126,0.007240,0.749216,0.696503,0.000803,-0.007528,0.741461,0.707982,0.769592,0.725938
add,0.697715,0.000843,0.714142,0.014647,0.676340,0.007631,0.738245,0.003135,0.741379,0.679032,-0.015458,-0.025000,0.738003,0.706948,0.786834,0.744837
mul,0.698871,0.007512,0.698023,0.007789,0.681714,0.016349,0.738245,0.012441,0.739812,0.684735,-0.010085,-0.019296,0.741029,0.706124,0.764890,0.719454
cross,0.709586,0.003025,0.708790,0.016883,0.695408,0.015413,0.749739,0.010436,0.760188,0.708422,0.003609,0.004391,0.749243,0.715975,0.778997,0.740490
gated_concat,0.705349,0.006107,0.714022,0.005744,0.674426,0.011699,0.737200,0.008633,0.741379,0.680213,-0.017373,-0.023818,0.747082,0.712110,0.774295,0.729090
bilinear,0.699023,0.011536,0.703131,0.010383,0.701276,0.008347,0.754963,0.005505,0.758621,0.707978,0.009477,0.003946,0.741029,0.709496,0.774295,0.729672
coattn,0.708018,0.007054,0.700425,0.012709,0.696345,0.011908,0.750261,0.009448,0.750784,0.697198,0.004546,-0.006834,0.756161,0.722028,0.775862,0.734497
late_interaction,0.693022,0.010905,0.711507,0.004366,0.689353,0.001019,0.743992,0.000905,0.738245,0.681885,-0.002446,-0.022146,0.741029,0.708917,0.780564,0.739315
