method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.708015,0.000976,0.713536,0.007160,0.693484,0.001984,0.749216,0.001567,0.760188,0.705577,0.000000,0.000000,0.743191,0.707518,0.771160,0.720014
term,0.493347,0.004351,0.461197,0.007539,0.469216,0.009548,0.538140,0.008633,0.537618,0.472236,-0.224268,-0.233341,0.547341,0.507689,0.548589,0.483969
concat,0.709625,0.006790,0.706230,0.001447,0.680329,0.009950,0.739812,0.007837,0.741379,0.682291,-0.013156,-0.023287,0.758323,0.726287,0.769592,0.724961
add,0.712604,0.004285,0.707539,0.013241,0.686547,0.005604,0.745559,0.003945,0.744514,0.682885,-0.006938,-0.022693,0.758755,0.726571,0.778997,0.733961
mul,0.712644,0.006130,0.698214,0.006139,0.687484,0.011294,0.745037,0.008913,0.746082,0.690615,-0.006001,-0.014963,0.760052,0.724637,0.761755,0.713259
cross,0.715344,0.015994,0.722761,0.006604,0.677125,0.017234,0.737200,0.015061,0.750784,0.691314,-0.016359,-0.014263,0.753134,0.724243,0.780564,0.742834
gated_concat,0.709571,0.000922,0.699055,0.004277,0.676703,0.007465,0.738245,0.005651,0.735110,0.670184,-0.016782,-0.035394,0.755728,0.719782,0.766458,0.715983
bilinear,0.702701,0.008329,0.692643,0.012327,0.696863,0.002861,0.749739,0.003263,0.760188,0.710188,0.003378,0.004611,0.751405,0.714914,0.766458,0.716728
coattn,0.710458,0.007323,0.712395,0.011285,0.693992,0.014284,0.749739,0.009954,0.750784,0.697813,0.000507,-0.007765,0.758755,0.726034,0.780564,0.740506
late_interaction,0.700643,0.011398,0.698821,0.003817,0.678797,0.006353,0.735632,0.003263,0.731975,0.671681,-0.014687,-0.033897,0.747082,0.714998,0.763323,0.712127
