method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.742382,0.002596,0.725750,0.009579,0.714537,0.013625,0.769190,0.006375,0.782334,0.731316,0.000000,0.000000,0.778701,0.743776,0.787066,0.741834
term,0.479682,0.012831,0.445520,0.011067,0.467655,0.013861,0.543638,0.007781,0.534700,0.452382,-0.246882,-0.278934,0.559844,0.484317,0.534700,0.432551
concat,0.753277,0.001728,0.722645,0.009444,0.728701,0.021723,0.778128,0.015561,0.791798,0.750234,0.014164,0.018918,0.786028,0.751702,0.777603,0.730073
add,0.744203,0.006261,0.727870,0.005302,0.721452,0.014918,0.772345,0.012047,0.783912,0.736478,0.006915,0.005161,0.784563,0.747234,0.788644,0.740783
mul,0.734912,0.006935,0.720718,0.008016,0.714436,0.012944,0.766562,0.003155,0.769716,0.718330,-0.000100,-0.012986,0.781143,0.742285,0.782334,0.733361
cross,0.745017,0.002103,0.729541,0.006229,0.725526,0.003224,0.778128,0.004819,0.782334,0.731995,0.010989,0.000679,0.782120,0.748896,0.785489,0.740205
gated_concat,0.742286,0.001802,0.722240,0.006231,0.724740,0.011567,0.777077,0.008094,0.785489,0.737948,0.010203,0.006632,0.788471,0.752410,0.782334,0.735511
bilinear,0.746205,0.001924,0.727234,0.007684,0.736504,0.014647,0.784963,0.007939,0.793375,0.747108,0.021968,0.015792,0.785051,0.750625,0.796530,0.753429
coattn,0.747501,0.004186,0.727486,0.001876,0.739117,0.007818,0.787592,0.006567,0.798107,0.750901,0.024581,0.019585,0.791402,0.757373,0.782334,0.731511
late_interaction,0.745985,0.004616,0.733477,0.003002,0.733137,0.004306,0.782334,0.003155,0.794953,0.747689,0.018600,0.016373,0.786028,0.751523,0.798107,0.752968
