method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
add,0.744447,0.011679,0.735856,0.006079,0.740049,0.019110,0.782860,0.017728,0.791798,0.748767,-0.009302,-0.011076,0.779678,0.751966,0.798107,0.758714
bilinear,0.739342,0.004111,0.736903,0.007263,0.738715,0.001066,0.781283,0.003283,0.783912,0.741939,-0.010636,-0.017904,0.778212,0.750900,0.796530,0.756327
coattn,0.743817,0.003237,0.741372,0.000794,0.750521,0.006544,0.792324,0.005070,0.788644,0.745174,0.001170,-0.014669,0.783586,0.755921,0.788644,0.749664
concat,0.741408,0.006880,0.738130,0.003517,0.752360,0.011994,0.791272,0.006567,0.801262,0.763106,0.003009,0.003263,0.775769,0.747796,0.788644,0.751025
cross,0.737341,0.006648,0.734384,0.003747,0.742035,0.012082,0.784963,0.007454,0.790221,0.748107,-0.007316,-0.011736,0.768442,0.743307,0.785489,0.747996
gated_concat,0.743790,0.005481,0.737548,0.005867,0.731964,0.005713,0.775499,0.003969,0.798107,0.760345,-0.017388,0.000502,0.781143,0.752838,0.807571,0.770648
late_interaction,0.744731,0.005709,0.741121,0.005859,0.741547,0.010049,0.784963,0.007781,0.793375,0.752403,-0.007804,-0.007440,0.778701,0.750602,0.799685,0.757172
mul,0.702497,0.060933,0.693821,0.058466,0.544915,0.351665,0.608833,0.299273,0.790221,0.759259,-0.204436,-0.000584,0.771373,0.744456,0.788644,0.750827
sent,0.738622,0.008637,0.739150,0.004653,0.749351,0.009941,0.787592,0.010017,0.796530,0.759843,0.000000,0.000000,0.764533,0.739292,0.793375,0.756780
term,0.452503,0.034396,0.464821,0.029543,0.503535,0.005260,0.553628,0.009594,0.553628,0.506568,-0.245816,-0.253274,0.503175,0.484363,0.566246,0.503903
