method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
add,0.743039,0.006142,0.727767,0.002627,0.731418,0.004232,0.777603,0.005687,0.785489,0.741484,0.002966,0.005672,0.780655,0.751419,0.791798,0.749167
bilinear,0.744983,0.002935,0.738111,0.008613,0.733011,0.012559,0.779180,0.008346,0.783912,0.736139,0.004559,0.000327,0.780655,0.752428,0.796530,0.756799
coattn,0.746515,0.001579,0.737619,0.002334,0.738799,0.002525,0.783386,0.003283,0.793375,0.749824,0.010348,0.014012,0.781632,0.751758,0.787066,0.745800
concat,0.746439,0.006444,0.731233,0.003241,0.731391,0.010398,0.780231,0.006375,0.783912,0.735687,0.002939,-0.000125,0.784563,0.753792,0.796530,0.753653
cross,0.742996,0.003201,0.731015,0.008647,0.726698,0.003310,0.775499,0.003969,0.776025,0.725111,-0.001754,-0.010701,0.775769,0.746350,0.782334,0.738709
gated_concat,0.746245,0.006142,0.728364,0.004519,0.726353,0.006789,0.773396,0.007112,0.787066,0.745018,-0.002099,0.009206,0.781143,0.752309,0.783912,0.739982
late_interaction,0.748293,0.007500,0.731486,0.008961,0.729868,0.011511,0.777603,0.008346,0.777603,0.730149,0.001416,-0.005662,0.784074,0.753947,0.793375,0.750533
mul,0.692897,0.077362,0.685238,0.069193,0.716086,0.005102,0.764984,0.005464,0.779180,0.735614,-0.012366,-0.000198,0.770884,0.740521,0.777603,0.733637
sent,0.740067,0.007879,0.734587,0.003890,0.728452,0.020422,0.774448,0.016392,0.780757,0.735812,0.000000,0.000000,0.772838,0.743638,0.790221,0.749206
term,0.481164,0.006673,0.491499,0.007975,0.498673,0.004391,0.549947,0.008094,0.563091,0.514031,-0.229778,-0.221781,0.531510,0.504863,0.586751,0.524926
