method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.737026,0.001689,0.733544,0.006733,0.735178,0.012923,0.780231,0.008687,0.790221,0.748399,0.000000,0.000000,0.772838,0.742296,0.794953,0.758739
term,0.478897,0.010757,0.484520,0.009219,0.493292,0.018683,0.570978,0.016392,0.597792,0.522271,-0.241885,-0.226129,0.546654,0.504820,0.585174,0.504582
concat,0.750225,0.003394,0.738644,0.004264,0.731282,0.012901,0.778654,0.009507,0.793375,0.747478,-0.003896,-0.000921,0.787494,0.757672,0.801262,0.761871
add,0.742586,0.004098,0.731548,0.007827,0.741923,0.008804,0.788118,0.006567,0.794953,0.750836,0.006745,0.002437,0.787494,0.753756,0.802839,0.761222
mul,0.703492,0.059688,0.690982,0.054059,0.728101,0.003329,0.774448,0.007228,0.772871,0.727187,-0.007077,-0.021212,0.782609,0.749080,0.785489,0.741403
cross,0.738627,0.006045,0.731256,0.001822,0.739205,0.010321,0.786015,0.008687,0.777603,0.729074,0.004027,-0.019326,0.770884,0.740844,0.796530,0.755313
gated_concat,0.743881,0.003538,0.729597,0.008573,0.742360,0.003416,0.785489,0.003155,0.798107,0.758016,0.007183,0.009616,0.782609,0.749924,0.793375,0.749391
bilinear,0.748608,0.003541,0.736057,0.007781,0.741137,0.019829,0.786015,0.014655,0.796530,0.753147,0.005959,0.004748,0.783586,0.751924,0.787066,0.742787
coattn,0.746345,0.005822,0.734840,0.000749,0.749659,0.012003,0.792324,0.011626,0.794953,0.751864,0.014481,0.003465,0.784074,0.755635,0.791798,0.751548
late_interaction,0.746534,0.003572,0.737935,0.007402,0.728978,0.010891,0.778654,0.008687,0.791798,0.742076,-0.006200,-0.006323,0.783586,0.752854,0.799685,0.755838
