method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.739624,0.003436,0.725342,0.001682,0.713755,0.008749,0.768665,0.006567,0.768139,0.713339,0.000000,0.000000,0.785051,0.749294,0.782334,0.733756
term,0.481878,0.004884,0.451062,0.010810,0.458657,0.010406,0.552576,0.006375,0.553628,0.457518,-0.255098,-0.255821,0.568149,0.489787,0.542587,0.436068
concat,0.751975,0.006841,0.728864,0.008601,0.725686,0.002664,0.777603,0.005687,0.779180,0.725872,0.011931,0.012533,0.788959,0.753548,0.787066,0.741154
add,0.742507,0.005961,0.723473,0.001911,0.714623,0.004082,0.770768,0.000911,0.782334,0.730493,0.000868,0.017154,0.782609,0.745278,0.788644,0.742313
mul,0.732103,0.011956,0.705616,0.004372,0.710547,0.011512,0.765510,0.005972,0.769716,0.715481,-0.003208,0.002142,0.782120,0.736655,0.772871,0.717397
cross,0.741223,0.005280,0.721918,0.010699,0.725238,0.009955,0.780231,0.006375,0.780757,0.728495,0.011482,0.015156,0.779189,0.743173,0.782334,0.731717
gated_concat,0.745820,0.004785,0.720760,0.005913,0.723769,0.006220,0.777077,0.005972,0.783912,0.734089,0.010013,0.020750,0.790425,0.753810,0.787066,0.742607
bilinear,0.746720,0.006332,0.730028,0.011315,0.736642,0.018334,0.784963,0.009637,0.790221,0.742100,0.022887,0.028761,0.785540,0.751301,0.783912,0.736300
coattn,0.745150,0.003087,0.726367,0.005857,0.733102,0.011356,0.784437,0.009637,0.791798,0.743814,0.019347,0.030475,0.785051,0.750960,0.791798,0.740731
late_interaction,0.744724,0.003060,0.724575,0.006386,0.726217,0.011763,0.777077,0.007939,0.791798,0.743384,0.012462,0.030045,0.780655,0.744554,0.785489,0.735496
