method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
add,0.704897,0.005679,0.706251,0.009782,0.714316,0.010268,0.821116,0.005747,0.826244,0.721666,0.005309,0.012376,0.790815,0.712565,0.822624,0.710237
bilinear,0.701272,0.006087,0.720244,0.009030,0.728256,0.014294,0.826546,0.009677,0.828959,0.729816,0.019249,0.020526,0.783265,0.704148,0.830769,0.729868
coattn,0.699683,0.009659,0.709977,0.002503,0.715616,0.007932,0.815686,0.002612,0.821719,0.726389,0.006609,0.017099,0.783580,0.706327,0.818100,0.719124
concat,0.701920,0.005825,0.716157,0.009294,0.720652,0.002721,0.823228,0.002277,0.828054,0.725812,0.011645,0.016522,0.790500,0.714212,0.830769,0.728301
cross,0.680371,0.004446,0.700320,0.004406,0.712253,0.006795,0.813273,0.004644,0.812670,0.711393,0.003246,0.002102,0.771312,0.689086,0.819910,0.716987
gated_concat,0.706899,0.011509,0.714194,0.000372,0.714836,0.011162,0.820513,0.007907,0.826244,0.722021,0.005829,0.012731,0.792073,0.714629,0.831674,0.728666
late_interaction,0.703664,0.004760,0.715832,0.006318,0.727908,0.009374,0.827753,0.006160,0.827149,0.724043,0.018901,0.014753,0.785153,0.708524,0.828054,0.727261
mul,0.664037,0.051430,0.673815,0.049138,0.696453,0.020385,0.811161,0.012936,0.812670,0.696209,-0.012554,-0.013081,0.781063,0.700532,0.819005,0.713560
sent,0.682965,0.003581,0.701771,0.011016,0.709007,0.011911,0.815686,0.004464,0.813575,0.709290,0.000000,0.000000,0.770997,0.688543,0.824434,0.715398
term,0.387224,0.011157,0.374990,0.009067,0.364037,0.007466,0.651584,0.001567,0.653394,0.367885,-0.344970,-0.341405,0.621265,0.390191,0.657014,0.365056
