method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.687310,0.003314,0.712862,0.005044,0.725169,0.014844,0.819608,0.010091,0.822624,0.728483,0.000000,0.000000,0.766908,0.700283,0.821719,0.728332
term,0.440232,0.006041,0.452134,0.004671,0.458857,0.004402,0.595173,0.018220,0.600000,0.469125,-0.266312,-0.259359,0.547342,0.441811,0.612670,0.473361
concat,0.704011,0.006841,0.727241,0.004256,0.726746,0.007394,0.822926,0.003657,0.828959,0.735971,0.001577,0.007488,0.783265,0.719260,0.830769,0.740388
add,0.703289,0.006860,0.725439,0.005737,0.728526,0.009549,0.822926,0.005818,0.834389,0.743397,0.003356,0.014914,0.783265,0.716597,0.828054,0.735223
mul,0.659933,0.058198,0.680144,0.053722,0.723246,0.004751,0.817195,0.006526,0.824434,0.725192,-0.001923,-0.003291,0.770997,0.699773,0.817195,0.718740
cross,0.683871,0.000682,0.714360,0.002862,0.718913,0.009230,0.815988,0.003657,0.817195,0.720329,-0.006257,-0.008154,0.764391,0.693694,0.824434,0.732420
gated_concat,0.704347,0.008412,0.720923,0.005971,0.736826,0.011835,0.828054,0.008044,0.833484,0.740013,0.011657,0.011529,0.786411,0.719523,0.830769,0.734328
bilinear,0.705484,0.009530,0.725772,0.000856,0.733322,0.012458,0.827753,0.008212,0.836199,0.743613,0.008153,0.015129,0.783265,0.715752,0.828054,0.734160
coattn,0.700558,0.003278,0.720751,0.005598,0.715682,0.001978,0.813876,0.002765,0.822624,0.729477,-0.009487,0.000993,0.778547,0.708541,0.824434,0.729172
late_interaction,0.703239,0.004425,0.728022,0.006342,0.732278,0.011441,0.826244,0.005505,0.830769,0.739368,0.007109,0.010885,0.781378,0.715923,0.831674,0.741063
