method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.688743,0.005868,0.707943,0.008080,0.713665,0.020737,0.821116,0.010091,0.822624,0.715443,0.000000,0.000000,0.779490,0.700486,0.813575,0.702565
term,0.435212,0.003212,0.419106,0.007496,0.410910,0.007779,0.644947,0.006671,0.651584,0.409434,-0.302755,-0.306009,0.618433,0.446067,0.654299,0.416722
concat,0.705872,0.009894,0.714642,0.005911,0.727453,0.004574,0.826546,0.003657,0.828959,0.727770,0.013788,0.012327,0.788927,0.716218,0.826244,0.726541
add,0.704481,0.010761,0.716136,0.008323,0.717873,0.012539,0.823529,0.006832,0.830769,0.727458,0.004208,0.012015,0.791444,0.717834,0.830769,0.729491
mul,0.688857,0.008372,0.692796,0.013672,0.694020,0.009491,0.807240,0.006335,0.811765,0.696207,-0.019645,-0.019236,0.780120,0.698760,0.818100,0.708116
cross,0.690429,0.002868,0.701660,0.005628,0.708963,0.014527,0.812971,0.009968,0.814480,0.713061,-0.004702,-0.002382,0.776030,0.695376,0.812670,0.701588
gated_concat,0.707999,0.002797,0.712474,0.008485,0.718481,0.008240,0.823831,0.004081,0.823529,0.716546,0.004816,0.001103,0.789242,0.715404,0.827149,0.724469
bilinear,0.709323,0.004752,0.718108,0.007787,0.724713,0.010599,0.825943,0.004984,0.832579,0.735304,0.011048,0.019861,0.793017,0.720481,0.831674,0.734555
coattn,0.704181,0.006794,0.708181,0.009962,0.706707,0.015108,0.812670,0.005934,0.814480,0.709969,-0.006958,-0.005474,0.787040,0.712342,0.810860,0.698270
late_interaction,0.707466,0.007969,0.718274,0.009813,0.731915,0.013398,0.828959,0.007837,0.827149,0.724070,0.018250,0.008627,0.787984,0.715759,0.824434,0.725605
