method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.679527,0.004079,0.722662,0.003491,0.727773,0.002705,0.817496,0.001045,0.820814,0.730000,0.000000,0.000000,0.756213,0.686415,0.820814,0.733763
term,0.414366,0.004948,0.428967,0.002065,0.446656,0.012547,0.588537,0.010411,0.591855,0.446694,-0.281117,-0.283306,0.546084,0.418001,0.592760,0.443442
concat,0.697192,0.005271,0.731632,0.003570,0.734205,0.008564,0.824736,0.006026,0.828959,0.740887,0.006432,0.010887,0.775716,0.709220,0.831674,0.743603
add,0.696031,0.006287,0.725171,0.005358,0.732206,0.004940,0.822021,0.004984,0.828959,0.743316,0.004433,0.013315,0.773828,0.705061,0.831674,0.745677
mul,0.692705,0.005301,0.721260,0.004977,0.712296,0.006997,0.805430,0.006335,0.812670,0.718910,-0.015478,-0.011090,0.772255,0.707661,0.821719,0.732977
cross,0.675753,0.005805,0.717209,0.000437,0.721041,0.008567,0.812368,0.003768,0.809955,0.719181,-0.006733,-0.010819,0.756213,0.684131,0.823529,0.736869
gated_concat,0.700451,0.007862,0.733582,0.005000,0.732193,0.006450,0.820814,0.005652,0.825339,0.739179,0.004420,0.009178,0.781692,0.712493,0.833484,0.748511
bilinear,0.701637,0.006522,0.736552,0.003493,0.735335,0.010327,0.825641,0.004180,0.836199,0.748255,0.007562,0.018255,0.776659,0.710116,0.834389,0.748412
coattn,0.696924,0.006362,0.723886,0.004239,0.718358,0.006320,0.811463,0.005530,0.820814,0.731677,-0.009415,0.001677,0.775401,0.707854,0.822624,0.733529
late_interaction,0.701843,0.002059,0.737072,0.000318,0.741164,0.008548,0.828054,0.005934,0.831674,0.744514,0.013390,0.014514,0.778232,0.711452,0.829864,0.743039
