method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
add,0.697289,0.012633,0.728358,0.006346,0.723225,0.003307,0.821116,0.002765,0.832579,0.738103,-0.005620,0.008158,0.775716,0.705931,0.833484,0.745366
bilinear,0.701945,0.008164,0.729517,0.007725,0.729923,0.007159,0.827149,0.008145,0.829864,0.733666,0.001079,0.003721,0.784838,0.716295,0.832579,0.742625
coattn,0.700326,0.003454,0.721143,0.002394,0.721653,0.002437,0.816591,0.001884,0.818100,0.724942,-0.007192,-0.005003,0.778232,0.708827,0.819910,0.724691
concat,0.698648,0.001380,0.723404,0.005535,0.736555,0.013183,0.830468,0.006852,0.837104,0.746523,0.007710,0.016578,0.781063,0.708247,0.832579,0.739480
cross,0.679667,0.005237,0.714362,0.004233,0.723290,0.003221,0.817195,0.003135,0.821719,0.729095,-0.005555,-0.000850,0.762504,0.687236,0.823529,0.733298
gated_concat,0.701855,0.008857,0.728394,0.010351,0.736480,0.001564,0.827149,0.000905,0.836199,0.746800,0.007635,0.016855,0.782951,0.712958,0.838914,0.753563
late_interaction,0.700536,0.009014,0.730717,0.004376,0.738594,0.006221,0.831674,0.002394,0.834389,0.741577,0.009749,0.011632,0.778232,0.708179,0.830769,0.742536
mul,0.701061,0.006004,0.718079,0.005515,0.699932,0.020569,0.802112,0.017880,0.810860,0.709442,-0.028913,-0.020503,0.779176,0.708763,0.822624,0.728884
sent,0.688759,0.005227,0.716601,0.001514,0.728845,0.013319,0.821418,0.007259,0.823529,0.729945,0.000000,0.000000,0.765335,0.693836,0.822624,0.727745
term,0.415233,0.004479,0.434924,0.006810,0.408044,0.072271,0.634389,0.018831,0.653394,0.450706,-0.320801,-0.279238,0.566845,0.418527,0.629864,0.445790
