method,cv_val_f1_mean_over_seeds,cv_val_f1_std_over_seeds,cv_test_f1_mean_over_seeds,cv_test_f1_std_over_seeds,full_test_f1_mean_over_seeds,full_test_f1_std_over_seeds,full_test_acc_mean_over_seeds,full_test_acc_std_over_seeds,full_ens_test_acc,full_ens_test_f1,delta_full_test_f1_vs_sent,delta_full_ens_test_f1_vs_sent,cv_val_seed_ens_acc,cv_val_seed_ens_f1,cv_test_seed_ens_acc,cv_test_seed_ens_f1
sent,0.701249,0.007525,0.695197,0.004568,0.703166,0.001793,0.759666,0.003620,0.764890,0.710891,0.000000,0.000000,0.758755,0.717661,0.761755,0.701259
term,0.489238,0.007489,0.441519,0.008269,0.445262,0.007816,0.519331,0.003945,0.520376,0.439769,-0.257904,-0.271122,0.555988,0.492779,0.532915,0.462951
concat,0.713340,0.002685,0.696958,0.012497,0.704264,0.006325,0.757053,0.006832,0.749216,0.694147,0.001098,-0.016744,0.760484,0.723123,0.760188,0.710188
add,0.704182,0.004573,0.696570,0.011319,0.690662,0.010315,0.746604,0.008043,0.746082,0.689855,-0.012504,-0.021036,0.755728,0.716365,0.758621,0.706989
mul,0.713671,0.000761,0.691528,0.012396,0.677541,0.013372,0.739289,0.012572,0.746082,0.687559,-0.025625,-0.023332,0.766537,0.727855,0.757053,0.703642
cross,0.717751,0.001942,0.706873,0.006108,0.701478,0.010050,0.756008,0.007407,0.758621,0.706734,-0.001688,-0.004157,0.765672,0.729747,0.764890,0.719320
gated_concat,0.707822,0.005695,0.693175,0.003584,0.696120,0.003569,0.752351,0.003135,0.752351,0.696092,-0.007046,-0.014799,0.759187,0.719290,0.755486,0.700337
bilinear,0.703621,0.006869,0.688246,0.016543,0.687428,0.008546,0.746082,0.007183,0.753918,0.698162,-0.015738,-0.012729,0.748379,0.711309,0.761755,0.708404
coattn,0.710284,0.011586,0.700593,0.005046,0.690190,0.012164,0.747649,0.012242,0.746082,0.689701,-0.012977,-0.021190,0.760052,0.726839,0.775862,0.732591
late_interaction,0.713267,0.001460,0.691157,0.012409,0.682455,0.019157,0.737200,0.014564,0.741379,0.684577,-0.020711,-0.026314,0.763943,0.723433,0.755486,0.700136
